City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kenai,US,2022-05-08 16:27:07,60.5544,-151.2583,45.09,71,0,12.66
1,Codrington,AU,2022-05-08 16:27:07,-38.2667,141.9667,46.15,86,23,5.19
2,Sao Joao Da Barra,BR,2022-05-08 16:27:08,-21.6403,-41.0511,80.69,65,36,11.63
3,Busselton,AU,2022-05-08 16:27:08,-33.65,115.3333,58.6,84,3,4.63
4,Ganzhou,CN,2022-05-08 16:27:09,28.8184,115.4327,69.3,95,100,2.21
5,Cape Town,ZA,2022-05-08 16:27:10,-33.9258,18.4232,64.27,70,0,5.75
6,Punta Arenas,CL,2022-05-08 16:27:10,-53.15,-70.9167,44.71,61,40,36.82
7,Moron,AR,2022-05-08 16:20:39,-34.6534,-58.6198,73.94,55,8,8.12
8,Rikitea,PF,2022-05-08 16:27:11,-23.1203,-134.9692,76.51,80,42,21.25
9,Kadyy,RU,2022-05-08 16:27:11,57.787,43.1903,55.69,62,100,12.03
10,Thompson,CA,2022-05-08 16:27:12,55.7435,-97.8558,46.56,87,100,13.8
11,Ambon,ID,2022-05-08 16:27:13,-3.6954,128.1814,78.94,94,40,2.3
12,Airai,TL,2022-05-08 16:27:13,-8.9266,125.4092,60.01,90,52,4.03
13,Bluff,NZ,2022-05-08 16:27:14,-46.6,168.3333,48.79,90,62,3.2
14,Bambous Virieux,MU,2022-05-08 16:27:14,-20.3428,57.7575,75.45,83,40,5.75
15,Lorengau,PG,2022-05-08 16:27:15,-2.0226,147.2712,83.37,74,92,13.62
16,Khatanga,RU,2022-05-08 16:27:15,71.9667,102.5,7.7,96,19,9.64
17,Vaini,TO,2022-05-08 16:27:16,-21.2,-175.2,73.56,88,20,5.75
18,Tahta,EG,2022-05-08 16:27:16,26.7693,31.5021,96.67,10,96,8.01
19,Tuktoyaktuk,CA,2022-05-08 16:27:17,69.4541,-133.0374,33.8,80,75,13.8
20,Ancud,CL,2022-05-08 16:18:22,-41.8697,-73.8203,54.0,79,39,3.09
21,Great Bend,US,2022-05-08 16:26:35,38.3645,-98.7648,72.03,81,100,9.22
22,Lebu,CL,2022-05-08 16:27:17,-37.6167,-73.65,57.22,92,99,7.81
23,Mataura,NZ,2022-05-08 16:27:18,-46.1927,168.8643,48.47,98,92,0.98
24,Olafsvik,IS,2022-05-08 16:27:19,64.8945,-23.7142,45.27,89,100,13.11
25,Port Alfred,ZA,2022-05-08 16:27:19,-33.5906,26.891,59.18,90,93,3.0
26,Barrow,US,2022-05-08 16:23:11,71.2906,-156.7887,19.42,86,100,10.36
27,Tigil,RU,2022-05-08 16:27:20,57.8,158.6667,33.15,99,100,5.1
28,Calama,CL,2022-05-08 16:27:20,-22.4667,-68.9333,61.29,11,0,18.41
29,Dikson,RU,2022-05-08 16:27:21,73.5069,80.5464,20.21,94,99,27.83
30,Ushuaia,AR,2022-05-08 16:27:21,-54.8,-68.3,40.66,81,40,35.68
31,Hilo,US,2022-05-08 16:24:17,19.7297,-155.09,78.28,94,100,6.91
32,Mount Gambier,AU,2022-05-08 16:27:22,-37.8333,140.7667,40.91,100,100,0.0
33,Oussouye,SN,2022-05-08 16:27:22,12.485,-16.5469,102.38,39,8,13.33
34,Hasaki,JP,2022-05-08 16:27:23,35.7333,140.8333,61.2,47,100,12.19
35,Albany,US,2022-05-08 16:23:50,42.6001,-73.9662,60.46,32,56,3.0
36,Cururupu,BR,2022-05-08 16:27:24,-1.8283,-44.8683,78.21,94,98,2.42
37,Kenora,CA,2022-05-08 16:15:21,49.8167,-94.4337,49.17,100,100,13.0
38,Tasiilaq,GL,2022-05-08 16:27:25,65.6145,-37.6368,35.76,68,100,6.69
39,Ponta Do Sol,PT,2022-05-08 16:27:25,32.6667,-17.1,74.71,69,8,4.14
40,Qaanaaq,GL,2022-05-08 16:27:26,77.484,-69.3632,25.43,60,100,1.77
41,Ayan,RU,2022-05-08 16:27:26,56.45,138.1667,30.92,95,66,5.88
42,Los Llanos De Aridane,ES,2022-05-08 16:27:27,28.6585,-17.9182,65.95,73,75,16.11
43,Kulhudhuffushi,MV,2022-05-08 16:27:27,6.6221,73.07,85.1,75,98,17.0
44,Ostrovnoy,RU,2022-05-08 16:20:37,68.0531,39.5131,33.22,75,43,15.12
45,Sept-Iles,CA,2022-05-08 16:25:02,50.2001,-66.3821,48.72,59,20,11.5
46,Progreso,MX,2022-05-08 16:28:28,21.2833,-89.6667,93.31,53,0,7.11
47,Fairbanks,US,2022-05-08 16:19:49,64.8378,-147.7164,38.08,78,75,6.91
48,Cuenca,EC,2022-05-08 16:25:03,-2.8833,-78.9833,60.93,82,100,2.3
49,Souillac,MU,2022-05-08 16:28:29,-20.5167,57.5167,75.58,83,40,5.75
50,Xunchang,CN,2022-05-08 16:28:29,28.4543,104.715,74.17,79,99,1.74
51,Oksfjord,NO,2022-05-08 16:24:52,70.2396,22.3479,36.0,90,100,9.44
52,Mongoumba,CF,2022-05-08 16:28:30,3.6415,18.5936,91.72,43,70,3.83
53,Mawlaik,MM,2022-05-08 16:28:30,23.6333,94.4167,76.46,90,65,1.95
54,Baruun-Urt,MN,2022-05-08 16:28:31,46.6806,113.2792,50.05,21,10,9.48
55,Teya,RU,2022-05-08 16:28:31,60.3778,92.6267,21.49,92,100,4.74
56,Nabire,ID,2022-05-08 16:28:32,-3.3667,135.4833,77.65,92,86,2.95
57,Chokurdakh,RU,2022-05-08 16:24:20,70.6333,147.9167,8.04,92,99,6.53
58,Hithadhoo,MV,2022-05-08 16:28:33,-0.6,73.0833,84.58,77,82,19.84
59,Kapaa,US,2022-05-08 16:28:33,22.0752,-159.319,73.72,89,75,13.8
60,Quesnel,CA,2022-05-08 16:26:10,52.9999,-122.5029,41.5,56,75,2.3
61,Ascension,US,2022-05-08 16:28:34,30.2169,-90.9001,86.09,71,0,4.61
62,Hobart,AU,2022-05-08 16:26:50,-42.8794,147.3294,43.05,87,21,6.91
63,Tigzirt,DZ,2022-05-08 16:28:35,36.8886,4.1198,67.12,53,7,4.52
64,Poum,NC,2022-05-08 16:28:35,-20.2333,164.0167,76.6,61,99,14.52
65,Georgetown,MY,2022-05-08 16:28:36,5.4112,100.3354,83.95,92,20,4.61
66,Hambantota,LK,2022-05-08 16:28:36,6.1241,81.1185,82.81,82,100,19.6
67,Shorapani,GE,2022-05-08 16:28:36,42.0898,43.0866,49.03,99,100,3.13
68,Vila Franca Do Campo,PT,2022-05-08 16:28:37,37.7167,-25.4333,66.61,76,89,1.43
69,Shimoda,JP,2022-05-08 16:26:11,34.6667,138.95,57.11,86,76,9.17
70,Iquitos,PE,2022-05-08 16:28:37,-3.7481,-73.2472,82.44,78,75,3.44
71,Lavrentiya,RU,2022-05-08 16:23:24,65.5833,-171.0,28.81,98,100,1.01
72,Bontang,ID,2022-05-08 16:28:38,0.1333,117.5,79.84,87,99,5.73
73,Waipawa,NZ,2022-05-08 16:28:39,-41.4122,175.5153,58.23,78,99,13.06
74,Bataipora,BR,2022-05-08 16:28:39,-22.2953,-53.2711,78.67,42,0,4.97
75,Norman Wells,CA,2022-05-08 16:28:40,65.282,-126.8329,35.64,69,75,6.91
76,Guerrero Negro,MX,2022-05-08 16:19:30,27.9769,-114.0611,63.61,66,11,15.7
77,Port-Gentil,GA,2022-05-08 16:23:29,-0.7193,8.7815,85.96,74,75,12.66
78,Umba,RU,2022-05-08 16:28:40,66.6871,34.3429,37.96,68,84,8.39
79,Ternate,ID,2022-05-08 16:28:41,0.8,127.4,82.2,80,99,3.36
80,Bredasdorp,ZA,2022-05-08 16:28:41,-34.5322,20.0403,58.19,76,98,5.73
81,Cherskiy,RU,2022-05-08 16:20:45,68.75,161.3,7.47,97,95,2.51
82,Akhnur,IN,2022-05-08 16:28:42,32.8667,74.7333,84.52,31,2,8.77
83,Port Macquarie,AU,2022-05-08 16:20:04,-31.4333,152.9167,48.88,77,0,6.98
84,Victoria,HK,2022-05-08 16:14:46,22.2855,114.1577,77.38,79,100,8.99
85,Kidal,ML,2022-05-08 16:24:56,18.4411,1.4078,102.92,4,0,12.01
86,Gat,IL,2022-05-08 16:28:43,31.61,34.7642,72.39,44,0,10.63
87,Te Anau,NZ,2022-05-08 16:28:43,-45.4167,167.7167,48.04,92,59,0.65
88,Bergen,NO,2022-05-08 16:28:43,60.392,5.328,54.09,53,20,6.91
89,Jamestown,US,2022-05-08 16:27:13,42.097,-79.2353,61.02,27,0,13.8
90,Nikolskoye,RU,2022-05-08 16:28:44,59.7035,30.7861,47.71,75,52,8.32
91,Butaritari,KI,2022-05-08 16:29:45,3.0707,172.7902,81.14,82,29,16.6
92,Stephenville,US,2022-05-08 16:29:45,32.2207,-98.2023,89.82,51,0,12.66
93,Shama,CN,2022-05-08 16:29:46,33.6102,104.2852,48.9,93,100,0.65
94,New Norfolk,AU,2022-05-08 16:29:46,-42.7826,147.0587,42.71,76,26,2.3
95,Constitucion,CL,2022-05-08 16:29:46,-35.3333,-72.4167,59.22,73,79,4.47
96,Bethel,US,2022-05-08 16:29:47,41.3712,-73.414,58.17,51,0,16.11
97,Garowe,SO,2022-05-08 16:29:47,8.4054,48.4845,90.16,39,100,3.51
98,Pangai,TO,2022-05-08 16:29:48,-19.8,-174.35,78.51,71,96,12.06
99,Chapais,CA,2022-05-08 16:29:48,49.7834,-74.8492,53.38,48,14,2.98
100,Kaeo,NZ,2022-05-08 16:29:49,-35.1,173.7833,57.33,95,72,5.68
101,Ahipara,NZ,2022-05-08 16:29:49,-35.1667,173.1667,60.4,91,85,5.91
102,Faanui,PF,2022-05-08 16:29:50,-16.4833,-151.75,81.18,76,14,9.48
103,Aleksandrov Gay,RU,2022-05-08 16:29:50,50.147,48.5704,53.64,52,100,9.75
104,Ribeira Grande,PT,2022-05-08 16:29:51,38.5167,-28.7,66.6,68,20,12.66
105,Vidim,RU,2022-05-08 16:29:51,56.4088,103.1106,30.96,66,51,10.13
106,Kaitangata,NZ,2022-05-08 16:29:52,-46.2817,169.8464,53.02,96,100,0.74
107,Nara,JP,2022-05-08 16:29:52,34.6851,135.8049,56.5,38,88,3.42
108,Severo-Kurilsk,RU,2022-05-08 16:29:53,50.6789,156.125,38.28,96,100,19.1
109,Lagoa,PT,2022-05-08 16:29:53,39.05,-27.9833,61.5,68,91,8.12
110,Anadyr,RU,2022-05-08 16:20:49,64.75,177.4833,32.5,100,100,8.95
111,Sao Filipe,CV,2022-05-08 16:29:54,14.8961,-24.4956,72.9,78,8,11.39
112,East London,ZA,2022-05-08 16:29:54,-33.0153,27.9116,61.74,82,0,8.05
113,Tallahassee,US,2022-05-08 16:27:34,30.4383,-84.2807,80.33,55,0,3.44
114,Arraial Do Cabo,BR,2022-05-08 16:29:55,-22.9661,-42.0278,76.96,73,75,9.22
115,Bathsheba,BB,2022-05-08 16:29:56,13.2167,-59.5167,86.61,70,20,16.11
116,Muros,ES,2022-05-08 16:29:56,42.7762,-9.0603,86.68,48,15,5.48
117,Eslov,SE,2022-05-08 16:29:57,55.8393,13.3039,60.03,39,81,1.03
118,Tabuk,PH,2022-05-08 16:29:57,17.4189,121.4443,76.12,82,13,5.26
119,Pevek,RU,2022-05-08 16:29:58,69.7008,170.3133,24.26,97,100,10.69
120,Avarua,CK,2022-05-08 16:28:43,-21.2078,-159.775,80.65,89,40,6.91
121,Ico,BR,2022-05-08 16:29:59,-6.4011,-38.8622,89.33,44,99,5.48
122,Beringovskiy,RU,2022-05-08 16:29:59,63.05,179.3167,25.03,92,79,10.13
123,Kruisfontein,ZA,2022-05-08 16:30:00,-34.0033,24.7314,58.89,64,26,4.09
124,Poli,TZ,2022-05-08 16:30:00,-3.3333,36.8,64.2,67,89,3.53
125,Saint George,US,2022-05-08 16:25:10,37.1041,-113.5841,73.26,13,0,6.91
126,Bonthe,SL,2022-05-08 16:30:01,7.5264,-12.505,80.08,77,100,3.33
127,Cap-Aux-Meules,CA,2022-05-08 16:30:02,47.3821,-61.8597,42.85,65,20,9.22
128,Alcochete,PT,2022-05-08 16:30:02,38.7553,-8.9609,85.93,35,0,12.66
129,Mount Isa,AU,2022-05-08 16:26:05,-20.7333,139.5,67.77,60,14,9.22
130,Matamoros,MX,2022-05-08 16:25:11,25.5333,-103.25,87.91,13,0,4.61
131,Santa Cruz Del Sur,CU,2022-05-08 16:30:03,20.7147,-77.9956,83.75,65,6,10.92
132,Charters Towers,AU,2022-05-08 16:30:04,-20.1,146.2667,66.81,98,100,12.75
133,Provideniya,RU,2022-05-08 16:30:05,64.3833,-173.3,31.01,98,100,5.57
134,Noumea,NC,2022-05-08 16:27:59,-22.2763,166.4572,75.0,99,98,10.98
135,Puerto Ayora,EC,2022-05-08 16:30:05,-0.7393,-90.3518,78.76,79,9,12.37
136,Mecca,SA,2022-05-08 16:30:06,21.4267,39.8261,86.81,33,0,7.61
137,Bajil,YE,2022-05-08 16:30:07,15.0584,43.2851,88.09,54,31,5.64
138,Coihaique,CL,2022-05-08 16:26:39,-45.5752,-72.0662,52.41,84,59,12.71
139,Kavieng,PG,2022-05-08 16:31:07,-2.5744,150.7967,83.25,73,97,18.05
140,Heidelberg,ZA,2022-05-08 16:31:08,-26.5048,28.3592,49.71,87,73,10.51
141,Long Beach,US,2022-05-08 16:28:00,33.767,-118.1892,65.88,80,100,10.36
142,Kalat,PK,2022-05-08 16:31:09,29.0225,66.5916,71.64,14,13,2.3
143,Kyren,RU,2022-05-08 16:31:09,51.6828,102.1408,36.72,92,100,3.87
144,Salinopolis,BR,2022-05-08 16:31:10,-0.6136,-47.3561,75.36,95,100,2.73
145,Pocone,BR,2022-05-08 16:31:10,-16.2567,-56.6228,91.9,23,6,1.83
146,Zhezkazgan,KZ,2022-05-08 16:31:11,47.8043,67.7144,58.89,26,84,17.65
147,Fortuna,US,2022-05-08 16:31:12,40.5982,-124.1573,49.66,89,100,6.91
148,Alofi,NU,2022-05-08 16:31:12,-19.0595,-169.9187,78.69,89,73,8.05
149,Mahebourg,MU,2022-05-08 16:31:13,-20.4081,57.7,75.49,83,40,5.75
150,Tiksi,RU,2022-05-08 16:31:14,71.6872,128.8694,0.19,99,51,4.21
151,Tuatapere,NZ,2022-05-08 16:31:14,-46.1333,167.6833,50.02,94,60,2.53
152,Salalah,OM,2022-05-08 16:31:15,17.0151,54.0924,84.29,79,20,9.22
153,Hermanus,ZA,2022-05-08 16:31:15,-34.4187,19.2345,59.81,78,62,4.38
154,Yellowknife,CA,2022-05-08 16:28:56,62.456,-114.3525,30.72,80,100,27.63
155,Kalengwa,ZM,2022-05-08 16:31:16,-13.4659,25.0027,68.2,58,38,2.89
156,Smiltene,LV,2022-05-08 16:31:16,57.4244,25.9016,44.98,43,1,12.86
157,Guye,CN,2022-05-08 16:31:17,39.7333,118.4167,46.89,84,100,0.27
158,Thinadhoo,MV,2022-05-08 16:31:17,0.5333,72.9333,84.51,77,78,18.19
159,Hualmay,PE,2022-05-08 16:22:15,-11.0964,-77.6139,69.73,76,48,10.58
160,Port Hedland,AU,2022-05-08 16:31:18,-20.3167,118.5667,69.85,68,82,6.91
161,Vestmannaeyjar,IS,2022-05-08 16:31:18,63.4427,-20.2734,49.19,93,100,27.63
162,Makakilo City,US,2022-05-08 16:31:19,21.3469,-158.0858,73.72,72,20,11.5
163,Mamit,IN,2022-05-08 16:31:20,23.9333,92.4833,70.27,86,93,3.87
164,Chuy,UY,2022-05-08 16:31:20,-33.6971,-53.4616,69.01,54,15,8.5
165,Bhainsdehi,IN,2022-05-08 16:31:21,21.6467,77.6325,91.63,15,19,1.23
166,Khasan,RU,2022-05-08 16:31:21,42.4308,130.6434,45.41,57,4,6.04
167,Kudahuvadhoo,MV,2022-05-08 16:31:22,2.6708,72.8944,84.45,78,54,18.07
168,Pundaguitan,PH,2022-05-08 16:31:23,6.3711,126.1689,78.26,93,100,6.51
169,Kisangani,CD,2022-05-08 16:31:24,0.5167,25.2,73.4,94,100,2.59
170,Pangkalanbuun,ID,2022-05-08 16:31:25,-2.6833,111.6167,75.22,99,100,3.56
171,Araguaina,BR,2022-05-08 16:28:02,-7.1911,-48.2072,89.31,42,100,6.44
172,Dingle,PH,2022-05-08 16:26:11,10.9995,122.6711,80.08,80,43,8.68
173,Saskylakh,RU,2022-05-08 16:31:26,71.9167,114.0833,10.29,92,81,13.42
174,Atuona,PF,2022-05-08 16:31:27,-9.8,-139.0333,78.91,72,48,16.84
175,Eenhana,NA,2022-05-08 16:31:27,-17.4667,16.3333,71.94,30,1,6.55
176,Esperance,AU,2022-05-08 16:29:05,-33.8667,121.9,55.24,42,8,11.7
177,Bongaigaon,IN,2022-05-08 16:31:28,26.4782,90.5568,80.87,62,2,3.85
178,Berlevag,NO,2022-05-08 16:23:32,70.8578,29.0864,32.0,76,94,5.3
179,Hailar,CN,2022-05-08 16:31:29,49.2,119.7,50.83,22,1,11.86
180,Pacific Grove,US,2022-05-08 16:22:00,36.6177,-121.9166,56.88,74,40,13.8
181,Dzhebariki-Khaya,RU,2022-05-08 16:31:29,62.2167,135.8,40.21,89,100,12.41
182,Acajutla,SV,2022-05-08 16:31:30,13.5928,-89.8275,86.9,64,92,7.61
183,Lindsay,US,2022-05-08 16:32:31,36.203,-119.0882,61.75,57,0,8.63
184,Magan,ES,2022-05-08 16:32:31,39.9683,-3.931,82.31,28,52,2.68
185,Kununurra,AU,2022-05-08 16:28:49,-15.7667,128.7333,73.38,38,2,6.91
186,Upernavik,GL,2022-05-08 16:32:32,72.7868,-56.1549,20.82,68,91,5.95
187,Chara,RU,2022-05-08 16:32:32,56.9064,118.2631,37.2,93,100,2.98
188,Vaitape,PF,2022-05-08 16:32:33,-16.5167,-151.75,80.67,79,12,9.48
